exp,id,QCAE_CE,QCAE_AE,AMI_BAScore,AMI_SMScore,AMI_ESScore,AQ10
1,1,1.076438995,-0.307882053,-0.968878998,0.094957744,0.286434446,-1.145380423
1,2,0.694594081,-1.954195809,-0.758253129,-0.569746463,1.44318894,-0.596225426
1,3,-1.723757039,-0.158217166,-1.600756606,0.538093882,1.057604109,0.502084569
1,5,-0.705503936,-1.205871374,-0.54762726,-1.012882602,0.286434446,-0.047070428
1,6,0.312749167,0.440442381,-0.337001391,-1.012882602,-0.099150385,-0.596225426
1,7,-1.08734885,-0.008552279,1.769257301,0.759661951,-0.870320048,-1.145380423
1,8,0.18546753,-0.9065416,-1.600756606,1.202798089,0.672019277,-0.596225426
1,9,-1.341912125,-0.756876714,0.294876217,2.310638435,-0.484735217,1.600394564
1,11,0.058185892,0.739772155,0.084250348,-1.45601874,0.286434446,-1.145380423
1,12,-0.832785574,-0.008552279,0.926753825,-0.126610325,-1.255904879,-0.596225426
1,13,-0.196377384,-0.008552279,1.558631432,0.094957744,-0.099150385,0.502084569
1,14,-0.705503936,-0.45754694,-0.126375522,-1.234450671,1.057604109,-1.145380423
1,16,0.821875719,1.338431703,-1.179504868,-0.126610325,-0.099150385,-0.596225426
1,17,-0.705503936,-1.056206487,0.294876217,0.98123002,1.828773772,-0.596225426
1,18,-0.196377384,0.739772155,0.294876217,-0.348178394,-0.099150385,-0.047070428
1,19,0.821875719,1.039101929,1.558631432,-0.126610325,-0.870320048,-0.047070428
1,20,1.203720633,1.787426363,-0.758253129,-0.348178394,-1.255904879,-0.596225426
1,21,0.18546753,-0.008552279,1.769257301,-1.677586809,0.672019277,-0.596225426
1,22,-1.08734885,-0.158217166,-0.337001391,1.202798089,-0.484735217,1.600394564
1,23,-1.214630488,0.290777494,1.348005563,1.645934228,0.672019277,-0.047070428
1,25,1.840128822,-2.552855356,-0.968878998,0.094957744,0.672019277,3.247859557
1,26,-0.45094066,0.590107268,0.084250348,0.316525813,-1.255904879,0.502084569
1,27,0.949157357,-1.355536261,-1.390130737,0.538093882,0.672019277,-1.145380423
1,28,1.076438995,0.889437042,-0.126375522,-0.791314532,-0.870320048,1.600394564
1,29,-0.069095746,-0.45754694,-0.126375522,-0.348178394,0.672019277,-0.596225426
1,30,1.712847185,1.338431703,-1.179504868,-0.126610325,-1.641489711,-1.145380423
1,31,1.585565547,0.440442381,1.137379694,-1.234450671,-0.484735217,0.502084569
1,32,0.567312443,0.889437042,0.084250348,0.759661951,-1.255904879,-0.596225426
1,33,-1.978320315,-1.505201148,1.348005563,1.202798089,1.828773772,0.502084569
1,34,0.694594081,0.440442381,-1.179504868,-0.569746463,-0.870320048,-0.047070428
1,35,0.694594081,0.889437042,-0.126375522,0.759661951,-0.099150385,-0.047070428
1,36,-0.196377384,1.039101929,-0.126375522,-1.677586809,-0.870320048,-0.047070428
1,37,-1.214630488,-0.9065416,-0.126375522,0.759661951,1.828773772,0.502084569
1,39,0.058185892,0.889437042,1.348005563,-1.45601874,-1.641489711,1.600394564
1,40,-0.832785574,-0.008552279,-0.337001391,0.98123002,0.672019277,0.502084569
2,1,-1.136317114,-0.91497703,-1.842510963,1.752502885,0.606765288,1.603441507
2,3,0.495317717,1.094384291,1.14823147,-0.035475767,-0.628829481,1.603441507
2,4,1.311135132,0.257150407,0.899002934,-1.624790124,-0.319930788,0.731667484
2,5,1.039195994,1.261831067,-1.593282427,-0.234140062,-1.555525558,0.295780472
2,6,-1.544225822,0.926937514,-0.097911211,-0.234140062,-0.319930788,1.167554495
2,7,-1.408256253,-1.249870583,2.145145614,1.355174295,0.606765288,1.167554495
2,8,-0.18453013,-1.082423806,-0.596368283,-0.035475767,0.915663981,-0.575993551
2,9,-1.544225822,-0.91497703,0.151317325,0.163188528,0.606765288,1.603441507
2,10,0.087409009,0.926937514,0.400545862,-1.02879724,-1.246626865,-0.140106539
2,11,-0.04856056,0.59204396,-0.845596819,-0.432804356,0.606765288,-1.447767574
2,12,-1.680195391,-0.747530253,0.400545862,0.759181412,0.606765288,1.167554495
2,13,2.126952547,-1.752210913,-0.845596819,0.560517117,0.915663981,-1.011880562
2,14,-0.456469268,-0.077743146,-0.347139747,-0.432804356,-0.011032096,-1.447767574
2,15,0.359348147,0.257150407,-0.596368283,1.752502885,-0.937728173,-0.140106539
2,16,1.990982978,-0.077743146,0.400545862,-1.227461535,-0.011032096,-1.011880562
2,17,-0.320499699,-0.580083476,-0.596368283,-0.432804356,0.297866596,-0.575993551
2,18,1.447104701,1.764171397,-1.593282427,-0.234140062,-0.937728173,-1.011880562
2,19,0.087409009,-0.91497703,1.646688542,-0.035475767,-0.011032096,-0.575993551
2,20,-0.18453013,-0.077743146,-0.596368283,0.759181412,-0.011032096,1.603441507
2,21,0.359348147,0.424597184,-0.596368283,-1.426125829,-0.937728173,0.295780472
2,22,-0.04856056,0.926937514,0.151317325,-0.631468651,-0.628829481,-0.140106539
2,23,-0.456469268,-2.254551243,0.400545862,-0.432804356,1.842360058,-1.011880562
2,24,0.223378578,0.759490737,1.895917078,-0.035475767,-0.937728173,-0.575993551
2,25,-0.728408407,0.08970363,0.899002934,1.951167179,-0.011032096,0.731667484
2,26,-0.456469268,0.59204396,-0.347139747,-1.227461535,-0.628829481,-0.140106539
2,27,-0.04856056,0.08970363,-0.596368283,-0.631468651,0.297866596,-1.011880562
2,28,0.903226424,-0.747530253,0.151317325,-0.432804356,3.077954827,-0.575993551
2,29,-0.18453013,1.429277844,0.400545862,1.752502885,-1.246626865,-0.575993551
