sub,Bad_RichSelf,Bad_PoorSelf,Good_RichSelf,Good_PoorSelf,Bad_RichOther,Bad_PoorOther,Good_RichOther,Good_PoorOther
1,5.421967354,7.346569287,11.63338907,10.08304585,4.91700689,7.594520365,9.803879021,10.21735126
2,2.29830723,1.547038673,3.073415666,3.096486878,2.93418573,1.61781743,2.745498059,1.713116308
3,-0.339450514,0.088278927,6.863455464,4.108268532,1.007184738,-0.386891173,4.560769879,3.843505704
4,11.92105723,16.33197033,8.733741416,11.03383757,4.672100496,12.56411979,-3.410442999,9.424939528
5,4.507898353,5.627879419,2.877913394,3.486062717,4.17070823,4.024492277,2.889127286,3.843171799
6,5.586087471,5.162011583,6.783735731,6.581274647,5.921649047,6.171892915,7.221025188,6.710208851
7,0.833859845,2.410781874,2.386559681,2.797918409,0.985134121,2.734142106,1.364864219,3.520252334
8,-4.832718478,2.481591885,0.515503944,2.074963506,-3.592490496,2.83225251,0.489288819,2.775202392
9,15.94592469,8.319797783,14.43013827,9.019519764,5.979259782,3.866858397,-0.010612212,-0.282911178
10,11.79599056,16.40059848,12.25078368,19.50265925,12.72124937,13.83103348,15.81266285,12.90444552
11,-0.867915134,1.566089637,2.435743045,7.000120173,3.78842218,2.765936933,6.372096628,2.24056116
12,0.915408128,0.160617447,1.17366709,1.345065752,1.620035716,-0.547793825,0.515343966,-2.288978299
13,3.455430328,2.403377081,3.567202837,3.559976316,4.340516588,2.30765387,4.957308409,2.492498165
14,2.059219696,2.502088314,1.587050289,3.173290649,6.035307032,1.301039044,3.700047333,2.001785283
15,9.871494076,3.837098768,5.2233562,1.654167552,4.109336103,2.943421779,1.594787093,-1.908953464
16,6.650098109,2.886626644,8.766780689,4.817176265,5.874047324,4.131606496,8.625313649,3.360690355
17,3.387008932,4.3793457,4.113269617,4.232086205,2.326564147,2.72740369,3.182646218,3.488478944
18,9.361288737,9.080638529,10.73048823,11.42705684,9.73064736,10.45901471,10.89345589,9.571884106
19,0.376525086,-0.368735127,-1.012883746,-0.718750931,-0.916488519,-2.324735154,-2.306200154,-3.947494764
20,14.43690816,22.01019989,18.55406397,21.44831086,25.37967504,13.65026656,16.68269601,5.763267869
21,6.437713253,3.564815072,3.736536586,2.726526366,3.825233463,3.751470735,2.13697653,1.646666478
22,4.589745641,2.675823968,3.572373035,1.748689219,4.618904034,2.859995295,3.614563131,-0.200677276
23,5.699296303,5.112177835,8.025470068,5.026448948,5.228159273,4.538471296,8.410446055,4.484523451
24,7.993329013,8.851768176,9.217808295,7.250704471,8.238439333,9.12491556,8.503413692,8.727021752
25,5.821049247,5.713529722,4.134075393,4.240025682,12.7952837,7.962577956,5.951564428,-0.090282855
26,8.796714462,8.429700958,8.722028572,9.446154179,6.17935543,8.870784658,8.968212185,11.39633039
27,4.966492165,3.283153437,2.591461431,2.326759852,0.455465386,-0.245151004,-0.877803609,-3.539603446
28,-0.710297965,-0.498174022,-0.185450207,-2.173600926,2.131103765,-0.703105747,-1.12040833,-2.615003174
29,8.418661227,13.6457576,20.97627657,21.56502037,19.05312229,17.63328065,-1.076093257,3.244330146
30,9.489931621,9.860081743,7.414777137,14.03439729,7.501958779,7.825964867,6.939606653,8.77460977
31,4.21655896,2.690228846,3.413002519,2.422548723,3.904169483,2.319320397,2.327255384,1.234374269
32,3.97452169,-0.598289522,5.275694139,-4.698548424,1.129513446,-3.30502524,-2.406086465,-8.96255277
33,-2.568457135,-4.900653987,-1.334853401,-3.928455269,-1.940408753,-5.011105372,-1.232939339,-2.814861492
34,14.1930154,9.759680722,13.60637709,12.13491309,8.790437386,8.822788003,10.01211855,7.953355389
35,-0.466565552,-0.784243167,-0.696325312,-3.132679066,0.404120601,-1.593898552,-1.768498479,-2.804598138
36,1.891841701,2.320041334,0.16389981,2.765774553,1.211465836,3.921333131,2.26776505,3.371226996
37,-1.429228539,-3.910108333,-3.235133219,-5.371704777,-1.016522333,-4.505623513,-3.274789494,-7.277603057
38,37.90650756,30.3096399,34.04186973,29.60687306,16.68626398,20.2959516,9.977387342,7.687976104
39,17.56037574,14.00435075,16.81459099,11.18498217,16.21507786,14.56605696,17.41979143,14.14168635
40,2.569083627,0.319947408,2.29407487,0.011596395,5.598083428,-0.02010636,2.367103654,-1.929494465
