sub ,Bad_RichSelf,Good_RichSelf,Bad_PoorSelf,Good_PoorSelf,Bad_RichOther,Good_RichOther,Bad_PoorOther,Good_PoorOther,Opt_BadRich,Opt_GoodRich,Opt_BadPoor,Opt_GoodPoor
1,11.93628659,22.79157761,15.79264508,23.17299096,11.74054586,21.2712873,16.16523734,23.43193754,5.149432834,9.793302141,6.953129871,11.59699918
2,7.697029778,13.11600752,8.796601952,14.98991946,8.617249755,13.07243139,8.941923575,13.68109176,5.149432834,9.793302141,6.953129871,11.59699918
3,5.98435944,17.83113473,7.91416515,16.57802406,6.796992556,14.994447,6.756299124,15.63056531,5.149432834,9.793302141,6.953129871,11.59699918
4,22.30394605,23.76049955,27.37436481,26.72010135,14.83263393,11.39395974,22.12152452,23.62621357,5.149432834,9.793302141,6.953129871,11.59699918
5,10.81106073,13.82494508,13.22752394,15.72957654,9.84555665,13.20784501,12.34646047,16.8090093,5.149432834,9.793302141,6.953129871,11.59699918
6,12.20459877,18.04611633,12.96949689,19.03262926,12.26369436,18.20693981,14.02641058,19.20859582,5.149432834,9.793302141,6.953129871,11.59699918
7,6.0921821,12.28875124,10.19598046,15.2269863,6.251917409,11.27551681,9.776639638,15.20661917,5.149432834,9.793302141,6.953129871,11.59699918
8,1.02012313,11.01221486,9.779497454,14.01673838,2.00581695,10.73146557,10.21530997,14.80212916,5.149432834,9.793302141,6.953129871,11.59699918
9,24.7365637,27.86464659,18.65400001,23.9975913,11.76330575,10.41730307,11.69910906,12.19320879,5.149432834,9.793302141,6.953129871,11.59699918
10,19.22248279,24.32114521,27.07735275,34.82328282,21.54293798,29.27822077,24.86314152,28.58042286,5.149432834,9.793302141,6.953129871,11.59699918
11,4.49117894,12.43870643,9.357920869,19.43582071,16.05806038,23.28560413,15.73168168,19.85017522,5.149432834,9.793302141,6.953129871,11.59699918
12,6.162218308,11.06434658,7.407274852,13.23559246,6.96047045,10.49964801,6.57089,9.473574833,5.149432834,9.793302141,6.953129871,11.59699918
13,8.7063255,13.46196732,9.707332148,15.50780069,11.19396233,16.45462346,9.19699714,14.02571074,5.149432834,9.793302141,6.953129871,11.59699918
14,7.777586733,11.94928663,9.789765288,15.10483693,11.47578958,13.78439918,8.683474413,14.02808996,5.149432834,9.793302141,6.953129871,11.59699918
15,15.66135015,15.65708158,11.26584165,13.72677974,9.732991482,11.86231178,10.74137792,10.53287198,5.149432834,9.793302141,6.953129871,11.59699918
16,13.31047656,20.07102844,10.53959627,17.1140152,12.44406346,19.83919909,12.38611571,16.25906888,5.149432834,9.793302141,6.953129871,11.59699918
17,8.854717538,14.22484753,11.70303107,16.19964088,7.924186409,13.42413779,9.799478729,15.20442329,5.149432834,9.793302141,6.953129871,11.59699918
18,17.05208286,23.06515165,18.00500852,24.99529614,16.93864843,22.74532627,19.22179359,22.9785323,5.149432834,9.793302141,6.953129871,11.59699918
19,5.828855658,9.083316133,6.90861669,10.69287996,5.274284114,8.528441786,5.553481341,8.574591038,5.149432834,9.793302141,6.953129871,11.59699918
20,24.03436475,32.79538987,33.89048786,37.97246814,34.15868083,30.10557111,23.57175525,20.32862586,5.149432834,9.793302141,6.953129871,11.59699918
21,12.57262999,14.51532263,10.61110959,14.41669019,9.50633338,12.46194575,11.77364775,14.3127128,5.149432834,9.793302141,6.953129871,11.59699918
22,10.74775281,14.37424951,9.782673109,13.49940767,10.11086105,13.75038945,10.52118704,12.10438378,5.149432834,9.793302141,6.953129871,11.59699918
23,11.76154784,18.73159092,12.61409801,17.17223843,11.62607403,19.45223012,12.15876325,16.74868471,5.149432834,9.793302141,6.953129871,11.59699918
24,14.5606103,20.42895889,17.64400803,20.68681363,15.8177956,20.72663927,18.28974331,22.53571881,5.149432834,9.793302141,6.953129871,11.59699918
25,11.66753673,14.62443219,14.25687392,17.42723919,19.64657296,17.44672299,16.61155012,13.20255862,5.149432834,9.793302141,6.953129871,11.59699918
26,15.3617351,19.93091852,17.51453289,23.17485542,12.89111887,20.32384493,17.68501979,24.85443483,5.149432834,9.793302141,6.953129871,11.59699918
27,10.66917644,12.93801501,10.64099329,14.32846901,5.811745542,9.122345853,7.32352712,8.672943985,5.149432834,9.793302141,6.953129871,11.59699918
28,5.6957694,10.86448647,6.930708955,9.899151358,7.42103855,8.813395761,6.527855927,9.259827807,5.149432834,9.793302141,6.953129871,11.59699918
29,18.07894413,35.28042878,24.15192286,36.71505494,26.80066373,11.31531749,29.12149038,19.37640918,5.149432834,9.793302141,6.953129871,11.59699918
30,15.52684686,18.09556168,19.03819362,27.85637847,13.87698678,17.95850396,16.40742795,21.99994216,5.149432834,9.793302141,6.953129871,11.59699918
31,9.77530106,13.61561393,9.667033,14.04322218,9.414453655,12.48140886,10.04901138,13.60793456,5.149432834,9.793302141,6.953129871,11.59699918
32,11.71246243,17.65750418,7.202755888,7.746366292,6.823668185,7.931937581,5.179469581,4.165811359,5.149432834,9.793302141,6.953129871,11.59699918
33,3.008715343,8.886188384,3.072484775,8.6885528,3.414290823,8.765629544,2.94139816,9.781511347,5.149432834,9.793302141,6.953129871,11.59699918
34,22.74281717,26.80004816,19.57987961,26.59898128,15.96689677,21.83244724,17.31387688,21.08831357,5.149432834,9.793302141,6.953129871,11.59699918
35,5.126466664,9.540576211,6.810286365,9.105719773,5.703249164,8.174499391,5.566499835,8.999669556,5.149432834,9.793302141,6.953129871,11.59699918
36,8.210390913,11.12631833,9.816443704,14.90604623,6.407204283,12.1073728,11.30141808,15.39518125,5.149432834,9.793302141,6.953129871,11.59699918
37,4.34720318,7.185167806,4.15180115,7.334074013,4.937785254,7.3233874,3.85717566,5.729065424,5.149432834,9.793302141,6.953129871,11.59699918
38,50.65268683,51.43191831,43.47653898,47.41764145,24.9021303,22.83712297,31.16380503,23.19969884,5.149432834,9.793302141,6.953129871,11.59699918
39,26.44978833,30.34787288,24.25025439,26.07475512,24.95261817,30.80120104,24.3779784,28.5974771,5.149432834,9.793302141,6.953129871,11.59699918
40,8.2148018,12.58366235,7.687408369,12.02292666,11.02237236,12.43526189,7.020984555,9.755465757,5.149432834,9.793302141,6.953129871,11.59699918
