sub ,ltPatch_Self,ltPatch_Other,ltPatch_Optimal,ltEnv_Self,ltEnv_Other,ltEnv_Optimal
1,9.117818446,8.39872082,4.643869307,2.118885925,3.292670855,1.803697037
2,5.806147627,4.597174911,4.643869307,1.486742059,0.466667095,1.803697037
3,10.2553171,8.535860316,4.643869307,0.338347524,0.297712436,1.803697037
4,0.401145019,-0.96699257,4.643869307,4.015010281,9.760572212,1.803697037
5,2.757968476,3.912418596,4.643869307,2.160547336,3.051034054,1.803697037
6,5.952324969,5.562715346,4.643869307,0.87570552,1.382186114,1.803697037
7,5.613787492,5.22678947,4.643869307,3.521016708,3.727912293,1.803697037
8,7.114666328,6.656233906,4.643869307,5.881948924,6.140078304,1.803697037
9,4.23583709,-0.425951477,4.643869307,-4.97480949,0.855854514,1.803697037
10,6.422296251,5.726282067,4.643869307,9.178503784,1.311202813,1.803697037
11,9.012713665,5.673018644,4.643869307,5.931928108,-1.880903803,1.803697037
12,5.365222941,3.220931195,4.643869307,1.708151215,-0.707826812,1.803697037
13,5.278055179,5.044687365,4.643869307,1.523420011,-2.212938956,1.803697037
14,4.743385771,3.826612577,4.643869307,2.583864426,-1.274312193,1.803697037
15,1.228334761,0.960407181,4.643869307,-3.162905175,-0.160526682,1.803697037
16,6.667485407,5.634044399,4.643869307,-2.863946764,-1.819038986,1.803697037
17,4.933369902,5.45244797,4.643869307,2.411553441,1.827788912,1.803697037
18,6.501678208,4.781708273,4.643869307,1.441535078,1.258175598,1.803697037
19,3.519361872,3.137633684,4.643869307,1.344662428,0.16267324,1.803697037
20,6.421502701,-3.648119557,4.643869307,7.516600689,-10.18193542,1.803697037
21,2.87413662,2.747338712,4.643869307,-1.030076419,2.059040708,1.803697037
22,3.671615629,2.61136257,4.643869307,-0.919960772,-0.617839842,1.803697037
23,5.764091746,6.208038775,4.643869307,-0.353401155,-1.085428097,1.803697037
24,4.455577095,4.577409582,4.643869307,1.670626238,2.14051363,1.803697037
25,3.06363036,-2.804420736,4.643869307,2.696072094,-3.639593601,1.803697037
26,5.114752972,7.30107055,4.643869307,2.698367344,4.662245403,1.803697037
27,2.978157148,2.330008588,4.643869307,0.681135422,0.531189855,1.803697037
28,4.068579734,2.062164546,4.643869307,0.134802224,-0.223375289,1.803697037
29,14.88230836,-12.61521372,4.643869307,3.753802445,5.190959168,1.803697037
30,5.693449836,4.837015695,4.643869307,6.636081774,3.285939687,1.803697037
31,4.108251025,3.312939193,4.643869307,0.159670099,0.880541708,1.803697037
32,3.244326081,0.047305587,4.643869307,-7.210422213,-2.705162413,1.803697037
33,5.746770533,6.095725954,4.643869307,-0.066933076,0.27149457,1.803697037
34,5.538166336,4.819993581,4.643869307,-1.682002219,0.301423224,1.803697037
35,3.354771477,2.952209974,4.643869307,0.624481631,0.344210419,1.803697037
36,4.002764971,4.896965846,4.643869307,2.692890347,4.091011121,1.803697037
37,3.010118744,2.128745955,4.643869307,-0.023247912,-1.337465785,1.803697037
38,2.360166976,-5.014556762,4.643869307,-5.595212359,3.312125302,1.803697037
39,2.861292637,5.034040788,4.643869307,-3.236325854,-1.389181855,1.803697037
40,4.352189422,2.073685367,4.643869307,-0.544064559,-3.340591966,1.803697037
