sub,patch,env,ben,lt,rr
1,1,2,2,8.5646294,13.44826485
1,1,2,2,11.8387069,9.381142573
1,2,2,2,21.2488736,5.553391664
1,1,2,2,14.8342462,6.74763614
1,1,2,2,13.7300864,7.619035753
1,2,2,2,21.5075628,5.397592602
1,2,2,2,21.0869602,5.653186259
1,1,2,2,9.1611965,12.59409066
1,1,2,2,17.3494659,5.116742853
1,1,2,2,16.0094243,5.929397768
1,2,2,2,21.9933976,5.116707735
1,1,2,2,12.0478711,9.16776478
1,1,2,2,12.2501474,8.966031061
1,2,2,2,16.7015098,9.157918087
1,1,2,1,11.2332568,10.02719675
1,2,2,1,21.8508571,5.197567184
1,1,2,1,12.5595038,8.666057046
1,1,2,1,12.9982291,8.257766265
1,1,2,1,12.2108179,9.004904335
1,1,2,1,10.5363765,10.8260786
1,2,2,1,24.1652527,4.029358374
1,1,2,1,17.017535,5.307020008
1,1,2,1,10.9328958,10.36402615
1,1,2,1,19.0835067,4.228188231
1,2,2,1,21.9042997,5.167101954
1,2,2,1,21.1002124,5.644951375
1,1,2,1,19.4000968,4.083476366
1,1,2,1,16.0756979,5.886329067
1,2,1,1,20.9185827,5.758867558
1,1,1,1,11.2709199,9.985740597
1,2,1,1,19.2477491,6.920808145
1,2,1,1,21.5328803,5.382581624
1,1,1,1,10.5173354,10.84877782
1,2,1,1,21.213046,5.575320965
1,1,1,1,5.8522178,18.12360742
1,2,1,1,21.096232,5.647423525
1,2,1,1,26.2997169,3.186158913
1,2,1,1,23.6090597,4.283576883
1,2,1,1,20.4162388,6.086046426
1,2,1,1,20.6168869,5.953191062
1,2,1,1,20.1000424,6.301453265
1,1,1,2,12.4843427,8.738002591
1,2,1,2,20.4147989,6.087010465
1,2,1,2,26.1718283,3.231297744
1,2,1,2,21.1393002,5.62073212
1,1,1,2,15.8240366,6.051555207
1,2,1,2,22.9464891,4.60743428
1,1,1,2,10.8376862,10.47313956
1,2,1,2,0.7454053,52.97342458
1,1,1,2,14.3920056,7.083999916
1,2,1,2,20.2618333,6.190298353
1,2,1,2,29.7019129,2.191474333
1,2,1,2,22.2521264,4.973138073
1,2,1,2,27.7818178,2.706848356
1,1,2,2,26.6555287,1.838318265
1,1,2,2,18.2258504,4.646507119
1,2,2,2,34.9496872,1.230375437
1,1,2,2,26.5920435,1.851200854
1,1,2,2,19.865119,3.879848995
1,1,2,2,13.2489948,8.033095102
1,1,2,2,13.6306978,7.702789732
1,1,2,2,13.6962293,7.647464087
1,2,2,2,27.5696026,2.770779426
1,1,2,2,27.1087971,1.748908087
1,2,2,2,22.3979065,4.894025781
1,1,1,2,7.7232898,14.75227703
1,2,1,2,21.1416887,5.61925555
1,2,1,2,24.6113606,3.83640328
1,1,1,2,14.7363142,6.820718117
1,2,1,2,22.9704258,4.595318693
1,2,1,2,9.5209555,20.17571882
1,1,1,2,3.2384638,24.16072319
1,2,1,2,22.2668596,4.965084874
1,2,1,2,25.6822143,3.410099176
1,1,1,2,14.688228,6.856891768
1,2,1,2,24.1196857,4.04960571
