sub,Bad_RichSelf,Good_RichSelf,Bad_PoorSelf,Good_PoorSelf,Bad_RichOther,Good_RichOther,Bad_PoorOther,Good_PoorOther,Opt_BadRich,Opt_GoodRich,Opt_BadPoor,Opt_GoodPoor
1,9.074357677,14.74972156,9.702853364,15.7737145,12.34255477,16.21043361,14.60422342,18.22200789,3.398608953,8.04247826,5.301045598,9.944914905
2,5.893834944,11.50285261,8.003843856,13.51702681,5.125320541,11.1107536,7.330418048,13.47241829,3.398608953,8.04247826,5.301045598,9.944914905
3,10.73197635,13.95748089,13.74407027,16.60480394,9.143461776,13.43512125,13.93878005,17.13622858,3.398608953,8.04247826,5.301045598,9.944914905
4,3.681165341,6.258056732,4.730675539,6.997506316,4.285823692,6.632171133,5.910289647,6.887277908,3.398608953,8.04247826,5.301045598,9.944914905
5,4.976196754,10.68257392,8.699490787,12.34283161,3.53939366,8.781345777,6.909592671,10.92076588,3.398608953,8.04247826,5.301045598,9.944914905
6,13.54232347,18.50811255,18.48605648,22.82707495,11.92484213,16.34532792,17.63998001,22.71178403,3.398608953,8.04247826,5.301045598,9.944914905
7,6.388287495,9.037294416,8.176672603,11.17396632,6.649148436,9.147055695,9.882690724,11.9293282,3.398608953,8.04247826,5.301045598,9.944914905
8,9.591229946,20.06762504,10.94255915,20.22218361,9.62750081,16.74889084,10.18609747,21.17454213,3.398608953,8.04247826,5.301045598,9.944914905
9,8.755891368,13.34751301,9.680797575,15.78047553,12.12484016,15.18796899,12.41122294,16.60829947,3.398608953,8.04247826,5.301045598,9.944914905
10,10.5687847,15.89261912,13.51520099,17.99146942,6.013700634,8.435103568,8.593479167,11.91370526,3.398608953,8.04247826,5.301045598,9.944914905
11,5.866090164,8.052185813,6.451167103,10.05383757,6.274219327,8.665085986,6.529935982,9.346607925,3.398608953,8.04247826,5.301045598,9.944914905
12,5.507801289,8.852498807,7.464051981,10.76794922,5.001005481,8.624474207,5.964088121,7.824301178,3.398608953,8.04247826,5.301045598,9.944914905
13,9.353053255,16.72476936,10.89031102,18.03946313,10.5050122,13.62088136,12.64589516,17.74966343,3.398608953,8.04247826,5.301045598,9.944914905
14,7.585025351,11.01942026,10.9994295,15.01221886,9.988604991,11.33024165,12.21829484,12.93862731,3.398608953,8.04247826,5.301045598,9.944914905
15,18.35020312,22.85657987,17.54158223,22.5028834,20.95684266,24.30024779,19.34032927,22.58429499,3.398608953,8.04247826,5.301045598,9.944914905
16,3.689683752,10.89092505,6.678935259,12.78027773,5.51709549,9.126044827,5.449912095,8.469134295,3.398608953,8.04247826,5.301045598,9.944914905
17,7.099748922,11.31298413,7.294508729,12.63976225,8.196656058,4.481639443,7.74729989,4.527200863,3.398608953,8.04247826,5.301045598,9.944914905
18,7.328353506,12.56370172,10.1971127,14.43547719,8.255650077,12.85143214,11.07852632,14.54542217,3.398608953,8.04247826,5.301045598,9.944914905
19,9.598767317,16.5293534,19.19305195,23.80994501,9.870237838,15.91972062,19.70478232,26.91134681,3.398608953,8.04247826,5.301045598,9.944914905
20,3.96419366,8.594698015,4.759772828,7.803606662,3.509327967,6.24195523,3.566844513,7.748853253,3.398608953,8.04247826,5.301045598,9.944914905
21,8.5492411,9.644389214,7.027641839,8.912925557,5.447715622,6.886892888,4.284969851,6.14960731,3.398608953,8.04247826,5.301045598,9.944914905
22,7.560998723,10.10336892,10.53666614,14.45762579,8.280687057,11.3448338,10.45122567,11.57945207,3.398608953,8.04247826,5.301045598,9.944914905
23,14.08563188,20.14119967,20.92784858,25.10879176,17.72897416,22.77962033,21.4254588,23.34246485,3.398608953,8.04247826,5.301045598,9.944914905
24,8.884080781,16.22387661,11.64505365,20.53341715,6.721738532,11.60819509,10.05222439,15.99487788,3.398608953,8.04247826,5.301045598,9.944914905
25,19.17969462,18.89991834,18.89365511,19.86854615,18.58712763,20.89793022,21.24681495,24.01949422,3.398608953,8.04247826,5.301045598,9.944914905
26,11.2093942,16.56578436,10.11341144,15.50314823,11.3564689,16.25443191,11.22274768,18.08039387,3.398608953,8.04247826,5.301045598,9.944914905
27,11.00021909,15.5745938,13.13810271,18.83934422,11.22935203,14.59183361,14.16347186,14.75049921,3.398608953,8.04247826,5.301045598,9.944914905
28,6.30732456,10.87548339,11.38585214,16.83603243,8.588613986,11.28548545,11.1032065,15.86391528,3.398608953,8.04247826,5.301045598,9.944914905
29,3.908665462,7.41688694,2.3055542,6.210115835,3.578125422,6.383898124,2.937072474,7.150208376,3.398608953,8.04247826,5.301045598,9.944914905
