sub,ltPatch_Self,ltPatch_Other,ltEnv_Self,ltEnv_Other,ltPatch_Optimal,ltEnv_Optimal
1,5.873112509,3.742831657,0.826244317,2.136621464,4.643869307,1.902436646
2,5.56110031,6.063716648,2.062091552,2.283381101,4.643869307,1.902436646
3,3.043119104,3.744553999,2.829708487,4.2482128,4.643869307,1.902436646
4,2.421861084,1.661667851,0.894479891,0.939786365,4.643869307,1.902436646
5,4.674858995,4.626562665,2.691775858,2.75480956,4.643869307,1.902436646
6,4.653403779,4.746144911,4.631347705,6.040796998,4.643869307,1.902436646
7,2.823150317,2.272272368,1.962528505,3.007907397,4.643869307,1.902436646
8,9.878009777,9.054917343,0.75294389,2.492123974,4.643869307,1.902436646
9,5.3456498,3.630102678,1.67893436,0.853356633,4.643869307,1.902436646
10,4.900051426,2.870814511,2.522633295,3.02919011,4.643869307,1.902436646
11,2.894383058,2.603769301,1.293364349,0.468619297,4.643869307,1.902436646
12,3.324297378,2.741840892,1.935850552,0.081454806,4.643869307,1.902436646
13,7.260434111,4.109818713,1.425975767,3.134832515,4.643869307,1.902436646
14,3.723592132,1.030984567,3.703601373,1.919037753,4.643869307,1.902436646
15,4.73383896,3.293685427,-0.58115868,-1.666233096,4.643869307,1.902436646
16,6.651291881,3.314085768,2.439302093,-0.362046964,4.643869307,1.902436646
17,4.779244362,-3.467557821,0.760768964,-0.201897374,4.643869307,1.902436646
18,4.736856354,4.031338956,2.370267333,2.258433132,4.643869307,1.902436646
19,5.77373957,6.628023641,8.437438119,10.41308533,4.643869307,1.902436646
20,3.837169095,3.457318001,0.002243908,0.782207285,4.643869307,1.902436646
21,1.490215916,1.651907362,-1.126531459,-0.950015674,4.643869307,1.902436646
22,3.231664926,2.096186573,3.664962143,1.20257844,4.643869307,1.902436646
23,5.118255485,3.483826109,5.904904388,2.129664582,4.643869307,1.902436646
24,8.114079667,5.414555025,3.535256702,3.858584326,4.643869307,1.902436646
25,0.347557382,2.54174093,0.341294148,2.890625665,4.643869307,1.902436646
26,5.373063474,5.877804598,-1.079309446,0.846120375,4.643869307,1.902436646
27,5.137808115,1.974754461,2.70131702,1.546392716,4.643869307,1.902436646
28,5.009169557,3.728790118,5.519538308,3.546511172,4.643869307,1.902436646
29,3.706391557,3.509454302,-1.404941184,0.062628652,4.643869307,1.902436646
